ward_id,vdcmun_id,vdcmun_name,district_id,district_name
120101,1201,Champadevi Rural Municipality,12,Okhaldhunga
120102,1201,Champadevi Rural Municipality,12,Okhaldhunga
120103,1201,Champadevi Rural Municipality,12,Okhaldhunga
120104,1201,Champadevi Rural Municipality,12,Okhaldhunga
120105,1201,Champadevi Rural Municipality,12,Okhaldhunga
120106,1201,Champadevi Rural Municipality,12,Okhaldhunga
120107,1201,Champadevi Rural Municipality,12,Okhaldhunga
120108,1201,Champadevi Rural Municipality,12,Okhaldhunga
120109,1201,Champadevi Rural Municipality,12,Okhaldhunga
120110,1201,Champadevi Rural Municipality,12,Okhaldhunga
120201,1202,Chishankhu Gadhi Rural Municipality,12,Okhaldhunga
120202,1202,Chishankhu Gadhi Rural Municipality,12,Okhaldhunga
120203,1202,Chishankhu Gadhi Rural Municipality,12,Okhaldhunga
120204,1202,Chishankhu Gadhi Rural Municipality,12,Okhaldhunga
120205,1202,Chishankhu Gadhi Rural Municipality,12,Okhaldhunga
120206,1202,Chishankhu Gadhi Rural Municipality,12,Okhaldhunga
120207,1202,Chishankhu Gadhi Rural Municipality,12,Okhaldhunga
120208,1202,Chishankhu Gadhi Rural Municipality,12,Okhaldhunga
120301,1203,Khiji Demba Rural Municipality,12,Okhaldhunga
120302,1203,Khiji Demba Rural Municipality,12,Okhaldhunga
120303,1203,Khiji Demba Rural Municipality,12,Okhaldhunga
120304,1203,Khiji Demba Rural Municipality,12,Okhaldhunga
120305,1203,Khiji Demba Rural Municipality,12,Okhaldhunga
120306,1203,Khiji Demba Rural Municipality,12,Okhaldhunga
120307,1203,Khiji Demba Rural Municipality,12,Okhaldhunga
120308,1203,Khiji Demba Rural Municipality,12,Okhaldhunga
120309,1203,Khiji Demba Rural Municipality,12,Okhaldhunga
120401,1204,Likhu Rural Municipality,12,Okhaldhunga
120402,1204,Likhu Rural Municipality,12,Okhaldhunga
120403,1204,Likhu Rural Municipality,12,Okhaldhunga
120404,1204,Likhu Rural Municipality,12,Okhaldhunga
120405,1204,Likhu Rural Municipality,12,Okhaldhunga
120406,1204,Likhu Rural Municipality,12,Okhaldhunga
120407,1204,Likhu Rural Municipality,12,Okhaldhunga
120408,1204,Likhu Rural Municipality,12,Okhaldhunga
120409,1204,Likhu Rural Municipality,12,Okhaldhunga
120501,1205,Manebhanjyang Rural Municipality,12,Okhaldhunga
120502,1205,Manebhanjyang Rural Municipality,12,Okhaldhunga
120503,1205,Manebhanjyang Rural Municipality,12,Okhaldhunga
120504,1205,Manebhanjyang Rural Municipality,12,Okhaldhunga
120505,1205,Manebhanjyang Rural Municipality,12,Okhaldhunga
120506,1205,Manebhanjyang Rural Municipality,12,Okhaldhunga
120507,1205,Manebhanjyang Rural Municipality,12,Okhaldhunga
120508,1205,Manebhanjyang Rural Municipality,12,Okhaldhunga
120509,1205,Manebhanjyang Rural Municipality,12,Okhaldhunga
120601,1206,Molung Rural Municipality,12,Okhaldhunga
120602,1206,Molung Rural Municipality,12,Okhaldhunga
120603,1206,Molung Rural Municipality,12,Okhaldhunga
120604,1206,Molung Rural Municipality,12,Okhaldhunga
120605,1206,Molung Rural Municipality,12,Okhaldhunga
120606,1206,Molung Rural Municipality,12,Okhaldhunga
120607,1206,Molung Rural Municipality,12,Okhaldhunga
120608,1206,Molung Rural Municipality,12,Okhaldhunga
120701,1207,Siddhicharan Municipality,12,Okhaldhunga
120702,1207,Siddhicharan Municipality,12,Okhaldhunga
120703,1207,Siddhicharan Municipality,12,Okhaldhunga
120704,1207,Siddhicharan Municipality,12,Okhaldhunga
120705,1207,Siddhicharan Municipality,12,Okhaldhunga
120706,1207,Siddhicharan Municipality,12,Okhaldhunga
120707,1207,Siddhicharan Municipality,12,Okhaldhunga
120708,1207,Siddhicharan Municipality,12,Okhaldhunga
120709,1207,Siddhicharan Municipality,12,Okhaldhunga
120710,1207,Siddhicharan Municipality,12,Okhaldhunga
120711,1207,Siddhicharan Municipality,12,Okhaldhunga
120712,1207,Siddhicharan Municipality,12,Okhaldhunga
120801,1208,Sunkoshi Rural Municipality,12,Okhaldhunga
120802,1208,Sunkoshi Rural Municipality,12,Okhaldhunga
120803,1208,Sunkoshi Rural Municipality,12,Okhaldhunga
120804,1208,Sunkoshi Rural Municipality,12,Okhaldhunga
120805,1208,Sunkoshi Rural Municipality,12,Okhaldhunga
120806,1208,Sunkoshi Rural Municipality,12,Okhaldhunga
120807,1208,Sunkoshi Rural Municipality,12,Okhaldhunga
120808,1208,Sunkoshi Rural Municipality,12,Okhaldhunga
120809,1208,Sunkoshi Rural Municipality,12,Okhaldhunga
120810,1208,Sunkoshi Rural Municipality,12,Okhaldhunga
200101,2001,Dudhouli Municipality,20,Sindhuli
200102,2001,Dudhouli Municipality,20,Sindhuli
200103,2001,Dudhouli Municipality,20,Sindhuli
200104,2001,Dudhouli Municipality,20,Sindhuli
200105,2001,Dudhouli Municipality,20,Sindhuli
200106,2001,Dudhouli Municipality,20,Sindhuli
200107,2001,Dudhouli Municipality,20,Sindhuli
200108,2001,Dudhouli Municipality,20,Sindhuli
200109,2001,Dudhouli Municipality,20,Sindhuli
200110,2001,Dudhouli Municipality,20,Sindhuli
200111,2001,Dudhouli Municipality,20,Sindhuli
200112,2001,Dudhouli Municipality,20,Sindhuli
200113,2001,Dudhouli Municipality,20,Sindhuli
200114,2001,Dudhouli Municipality,20,Sindhuli
200201,2002,Ghyanglekha Rural Municipality,20,Sindhuli
200202,2002,Ghyanglekha Rural Municipality,20,Sindhuli
200203,2002,Ghyanglekha Rural Municipality,20,Sindhuli
200204,2002,Ghyanglekha Rural Municipality,20,Sindhuli
200205,2002,Ghyanglekha Rural Municipality,20,Sindhuli
200301,2003,Golanjor Rural Municipality,20,Sindhuli
200302,2003,Golanjor Rural Municipality,20,Sindhuli
200303,2003,Golanjor Rural Municipality,20,Sindhuli
200304,2003,Golanjor Rural Municipality,20,Sindhuli
200305,2003,Golanjor Rural Municipality,20,Sindhuli
200306,2003,Golanjor Rural Municipality,20,Sindhuli
200307,2003,Golanjor Rural Municipality,20,Sindhuli
200401,2004,Hariharpurgaghi Rural Municipality,20,Sindhuli
200402,2004,Hariharpurgaghi Rural Municipality,20,Sindhuli
200403,2004,Hariharpurgaghi Rural Municipality,20,Sindhuli
200404,2004,Hariharpurgaghi Rural Municipality,20,Sindhuli
200405,2004,Hariharpurgaghi Rural Municipality,20,Sindhuli
200406,2004,Hariharpurgaghi Rural Municipality,20,Sindhuli
200407,2004,Hariharpurgaghi Rural Municipality,20,Sindhuli
200408,2004,Hariharpurgaghi Rural Municipality,20,Sindhuli
200501,2005,Kamalamai Municipality,20,Sindhuli
200502,2005,Kamalamai Municipality,20,Sindhuli
200503,2005,Kamalamai Municipality,20,Sindhuli
200504,2005,Kamalamai Municipality,20,Sindhuli
200505,2005,Kamalamai Municipality,20,Sindhuli
200506,2005,Kamalamai Municipality,20,Sindhuli
200507,2005,Kamalamai Municipality,20,Sindhuli
200508,2005,Kamalamai Municipality,20,Sindhuli
200509,2005,Kamalamai Municipality,20,Sindhuli
200510,2005,Kamalamai Municipality,20,Sindhuli
200511,2005,Kamalamai Municipality,20,Sindhuli
200512,2005,Kamalamai Municipality,20,Sindhuli
200513,2005,Kamalamai Municipality,20,Sindhuli
200514,2005,Kamalamai Municipality,20,Sindhuli
200601,2006,Marin Rural Municipality,20,Sindhuli
200602,2006,Marin Rural Municipality,20,Sindhuli
200603,2006,Marin Rural Municipality,20,Sindhuli
200604,2006,Marin Rural Municipality,20,Sindhuli
200605,2006,Marin Rural Municipality,20,Sindhuli
200606,2006,Marin Rural Municipality,20,Sindhuli
200608,2006,Marin Rural Municipality,20,Sindhuli
200701,2007,Phikkal Rural Municipality,20,Sindhuli
200702,2007,Phikkal Rural Municipality,20,Sindhuli
200703,2007,Phikkal Rural Municipality,20,Sindhuli
200704,2007,Phikkal Rural Municipality,20,Sindhuli
200705,2007,Phikkal Rural Municipality,20,Sindhuli
200706,2007,Phikkal Rural Municipality,20,Sindhuli
200801,2008,Sunkoshi Rural Municipality,20,Sindhuli
200802,2008,Sunkoshi Rural Municipality,20,Sindhuli
200803,2008,Sunkoshi Rural Municipality,20,Sindhuli
200804,2008,Sunkoshi Rural Municipality,20,Sindhuli
200805,2008,Sunkoshi Rural Municipality,20,Sindhuli
200806,2008,Sunkoshi Rural Municipality,20,Sindhuli
200807,2008,Sunkoshi Rural Municipality,20,Sindhuli
200901,2009,Tinpatan Rural Municipality,20,Sindhuli
200902,2009,Tinpatan Rural Municipality,20,Sindhuli
200903,2009,Tinpatan Rural Municipality,20,Sindhuli
200904,2009,Tinpatan Rural Municipality,20,Sindhuli
200905,2009,Tinpatan Rural Municipality,20,Sindhuli
200906,2009,Tinpatan Rural Municipality,20,Sindhuli
200907,2009,Tinpatan Rural Municipality,20,Sindhuli
200908,2009,Tinpatan Rural Municipality,20,Sindhuli
200909,2009,Tinpatan Rural Municipality,20,Sindhuli
200910,2009,Tinpatan Rural Municipality,20,Sindhuli
200911,2009,Tinpatan Rural Municipality,20,Sindhuli
210101,2101,Doramba Rural Municipality,21,Ramechhap
210102,2101,Doramba Rural Municipality,21,Ramechhap
210103,2101,Doramba Rural Municipality,21,Ramechhap
210104,2101,Doramba Rural Municipality,21,Ramechhap
210105,2101,Doramba Rural Municipality,21,Ramechhap
210106,2101,Doramba Rural Municipality,21,Ramechhap
210107,2101,Doramba Rural Municipality,21,Ramechhap
210201,2102,Gokulganga Rural Municipality,21,Ramechhap
210202,2102,Gokulganga Rural Municipality,21,Ramechhap
210203,2102,Gokulganga Rural Municipality,21,Ramechhap
210204,2102,Gokulganga Rural Municipality,21,Ramechhap
210205,2102,Gokulganga Rural Municipality,21,Ramechhap
210206,2102,Gokulganga Rural Municipality,21,Ramechhap
210301,2103,Khandadevi Rural Municipality,21,Ramechhap
